T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Georgia,Rep. of Ireland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Germany,Scotland,3,2,18,16,106,66,20,20,224,121,103,152,60,717,179,218,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Faroe Islands,Finland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North. Ireland,Hungary,1,1,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Romania,Greece,0,0,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Portugal,Albania,1,0,6,4,26,13,4,9,43,29,14,30,22,577,37,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
France,Serbia,2,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Belarus,Luxembourg,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Spain,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Slovakia,Ukraine,0,0,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
England,Switzerland,2,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Lithuania,San Marino,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,Slovenia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Liechtenstein,Russia,0,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Montenegro,Moldova,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,Austria,1,4,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Rep. of Ireland,Germany,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Gibraltar,Georgia,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,Scotland,2,2,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Faroe Islands,Hungary,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
North. Ireland,Greece,3,1,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Finland,Romania,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Serbia,Albania,2,0,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,Portugal,0,1,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Armenia,France,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Macedonia,Ukraine,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Lithuania,Slovenia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Slovakia,Belarus,0,1,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,Luxembourg,4,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
England,Estonia,2,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Switzerland,San Marino,7,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,Liechtenstein,2,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Russia,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Austria,Montenegro,3,2,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Equatorial Guinea,Kosovo,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,Czech Republic,2,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Iceland,Latvia,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,Kazakhstan,2,1,10,3,50,27,11,12,86,48,38,65,35,650,84,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Azerbaijan,3,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Malta,2,0,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andorra,Belgium,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Bosnia & Herzegovina,Wales,2,0,1,1,3,1,0,2,4,4,0,2,4,333,3,3,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Cyprus,Israel,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Bulgaria,Croatia,0,3,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Germany,Georgia,2,1,18,16,106,66,20,20,224,121,103,152,60,717,179,218,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Faroe Islands,Romania,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Finland,North. Ireland,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Hungary,Greece,3,4,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Armenia,Albania,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Portugal,Serbia,2,1,6,4,26,13,4,9,43,29,14,30,22,577,37,43,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Gibraltar,Scotland,0,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Rep. of Ireland,Poland,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
France,Denmark,2,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Austria,Liechtenstein,3,0,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,Macedonia,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,Russia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Sweden,Moldova,2,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovakia,Luxembourg,4,2,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,Spain,0,1,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Switzerland,Estonia,1,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
England,Lithuania,3,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovenia,San Marino,2,0,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kazakhstan,Latvia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,Czech Republic,2,3,10,3,50,27,11,12,86,48,38,65,35,650,84,92,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Turkey,Iceland,1,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
