T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Cyprus,Belgium,0,5,0,1393,1924,0.0449298799,0.9550701201
Bulgaria,Italy,2,2,1,1561,1919,0.1129642731,0.8870357269
Georgia,Germany,0,2,0,1461,2033,0.0358225876,0.9641774124
Scotland,Gibraltar,6,1,0,1686,1079,0.9705215145,0.0294784855
North. Ireland,Finland,2,1,0,#N/A,1550,#N/A,#N/A
Faroe Islands,Romania,0,1,0,1203,1689,0.0574517911,0.9425482089
Albania,Armenia,2,1,0,1602,1499,0.6440338538,0.3559661462
Rep. of Ireland,Poland,1,1,1,#N/A,1794,#N/A,#N/A
Hungary,Greece,0,0,1,1695,1592,0.6440338538,0.3559661462
Portugal,Serbia,2,1,0,1874,1710,0.7199190059,0.2800809941
Denmark,France,0,2,0,1722,1953,0.2092018972,0.7907981028
Qatar,Slovenia,1,0,0,1513,1588,0.3937121762,0.6062878238
Belarus,Gabon,0,0,1,1559,1442,0.6622877974,0.3377122026
Macedonia,Australia,0,0,1,1407,1692,0.1623845416,0.8376154584
Kazakhstan,Russia,0,0,1,1395,1670,0.1703671766,0.8296328234
Liechtenstein,San Marino,1,0,0,1166,861,0.8526729521,0.1473270479
Italy,England,1,1,1,1919,1889,0.543066492,0.456933508
Slovakia,Czech Republic,1,0,0,1735,#N/A,#N/A,#N/A
Latvia,Ukraine,1,1,1,1456,1714,0.1846481847,0.8153518153
Iceland,Estonia,1,1,1,1728,1444,0.836830966,0.163169034
Switzerland,United States,1,1,1,1776,1747,0.5416377027,0.4583622973
Sweden,Iran,3,1,0,1710,1729,0.472684027,0.527315973
Turkey,Luxembourg,2,1,0,1790,1213,0.965158361,0.034841639
Bosnia & Herzegovina,Austria,1,1,1,#N/A,1688,#N/A,#N/A
Spain,Netherlands,0,2,0,1918,1903,0.5215733331,0.4784266669
Cape Verde,Portugal,2,0,0,1504,1874,0.1062253198,0.8937746802
Israel,Belgium,0,1,0,1546,1924,0.101931721,0.898068279
